Start,End,Energy,Threshold
167,6230,0.18277359,0.01
7100,28098,0.17595689,0.01
28857,30228,0.17411402,0.01
31758,49356,0.2291486,0.01
50010,50482,0.27708295,0.01
51124,51312,0.11758362,0.01
52498,54376,0.072947,0.01
54927,55089,0.07813202,0.01
57183,59569,0.04159547,0.01
60365,67133,0.16368885,0.01
68338,70601,0.09669986,0.01
72109,73514,0.08561312,0.01
75042,76854,0.13008271,0.01
78756,79125,0.035377756,0.01
85113,87364,0.3410529,0.01
88349,91238,0.22419128,0.01
91784,92979,0.28435665,0.01
94202,105065,0.22181004,0.01
105660,106395,0.0762623,0.01
107401,108619,0.14598444,0.01
110879,112278,0.142517,0.01
113082,118682,0.14735605,0.01
119502,123584,0.13602488,0.01
124278,124578,0.043024775,0.01
125199,125720,0.16545199,0.01
126692,126785,0.040594403,0.01
127964,128723,0.19909766,0.01
129271,129915,0.14643158,0.01
130629,134680,0.11377168,0.01
135434,138933,0.1071606,0.01
139660,152377,0.15071169,0.01
153365,154671,0.07503978,0.01
156003,158844,0.17919204,0.01
159654,168438,0.17200175,0.01
170712,174218,0.124610044,0.01
174987,181690,0.20784296,0.01
182384,188474,0.159116,0.01
190186,190816,0.18304919,0.01
192700,194291,0.07639712,0.01
194844,223480,0.19815761,0.01
224175,228756,0.123267114,0.01
229308,241541,0.19515963,0.01
242300,258630,0.084458336,0.01
260961,264388,0.12458326,0.01
265861,267128,0.10586649,0.01
268307,273352,0.12162918,0.01
274304,276822,0.11195544,0.01
277748,277901,0.15069675,0.01
279566,283204,0.16888615,0.01
284539,286225,0.17115413,0.01
287031,289424,0.17852697,0.01
291295,297170,0.1971511,0.01
298212,308125,0.2306249,0.01
309653,309677,0.026181608,0.01
317864,331543,0.20262565,0.01
335310,339424,0.09019662,0.01
341427,342351,0.10763307,0.01
343433,343736,0.14987157,0.01
346623,347274,0.09675745,0.01
348293,351029,0.15062517,0.01
351615,364990,0.21797809,0.01
365585,375172,0.14414443,0.01
375809,378323,0.12005558,0.01
380238,380615,0.20930234,0.01
382374,396693,0.17944807,0.01
400689,403417,0.18076016,0.01
406954,407328,0.22980295,0.01
407994,408663,0.11334402,0.01
411155,412965,0.1294108,0.01
414136,421259,0.19492263,0.01
422096,423796,0.12736307,0.01
425571,426995,0.18603614,0.01
431348,440243,0.1370526,0.01
440949,447674,0.09550859,0.01
449924,451750,0.213472,0.01
452709,460615,0.11698727,0.01
461180,462964,0.22890899,0.01
465158,466228,0.037009694,0.01
466862,467505,0.17659141,0.01
468052,470200,0.12406702,0.01
471111,472458,0.022832077,0.01
473627,476281,0.16699944,0.01
477241,479815,0.16811103,0.01
480415,484915,0.1563474,0.01
489388,489444,0.1460235,0.01
491035,491191,0.008983829,0.01
492142,502178,0.13486645,0.01
503878,510024,0.13634256,0.01
511176,526649,0.12847598,0.01
527480,529173,0.11017,0.01
530304,535261,0.10871154,0.01
535845,535846,0.0101312,0.01
536414,536980,0.030069005,0.01
540384,540455,0.01359221,0.01
542805,544011,0.095608965,0.01
547033,553001,0.08031437,0.01
553702,557717,0.08589761,0.01
559855,560290,0.023078803,0.01
561041,561205,0.016973943,0.01
567064,569673,0.14845063,0.01
570412,575166,0.22785649,0.01
575982,577684,0.14284377,0.01
582451,583302,0.06344415,0.01
587351,588674,0.1518531,0.01
589562,594756,0.1372512,0.01
596809,597354,0.026788695,0.01
598353,598688,0.0666503,0.01
600859,601250,0.10347736,0.01
602315,604703,0.1507312,0.01
606071,606810,0.15566683,0.01
611984,613424,0.121319115,0.01
615857,616336,0.012888279,0.01
616983,617001,0.014437586,0.01
618563,624352,0.025852146,0.01
624998,632128,0.1446413,0.01
632708,633044,0.22074534,0.01
634096,636608,0.16045383,0.01
637221,639239,0.09470671,0.01
639940,640591,0.31804723,0.01
641153,641276,0.23658971,0.01
641796,646384,0.2785696,0.01
647230,650686,0.1542488,0.01
652605,655664,0.098527804,0.01
656591,656782,0.05636645,0.01
657439,681876,0.06071174,0.01
683010,684205,0.06762305,0.01
685391,701661,0.07661548,0.01
702232,703088,0.07478635,0.01
703831,709089,0.050410327,0.01
709645,710245,0.06717087,0.01
710782,725139,0.06507445,0.01
726203,727318,0.06707686,0.01
728043,743618,0.08155402,0.01
744613,747140,0.069138035,0.01
747898,749274,0.053283714,0.01
750668,750819,0.0037475359,0.01
752226,754120,0.04019152,0.01
758758,759401,0.018295981,0.01
760145,761391,0.038208853,0.01
762210,774893,0.10234933,0.01
776029,776302,0.013979372,0.01
779473,801007,0.14337227,0.01
801999,802596,0.0035044188,0.01
803262,807191,0.16605048,0.01
807924,817433,0.15417847,0.01
817995,819564,0.1166524,0.01
821784,827647,0.19407997,0.01
828442,836789,0.18772371,0.01
837689,851016,0.13190876,0.01
852091,854073,0.13036811,0.01
857386,859341,0.120788135,0.01
859927,861443,0.10553296,0.01
864413,870203,0.15729465,0.01
871554,874539,0.14121981,0.01
875833,901112,0.15606391,0.01
902221,939705,0.15010817,0.01
940726,940965,0.06914101,0.01
941615,952719,0.10489469,0.01
953428,958563,0.13529532,0.01
959800,978686,0.1459148,0.01
980042,980336,0.17309856,0.01
981866,983069,0.12235981,0.01
983719,984402,0.12891527,0.01
985085,985785,0.14039914,0.01
986475,986857,0.0993182,0.01
987600,1001675,0.11998056,0.01
1002495,1007304,0.10401071,0.01
1008048,1014887,0.10369894,0.01
1016720,1017320,0.10466266,0.01
1018193,1028616,0.15482064,0.01
1029357,1031014,0.13588129,0.01
1031561,1032935,0.12996353,0.01
1034091,1035549,0.13625939,0.01
1037215,1044552,0.12291293,0.01
1045454,1047177,0.12847053,0.01
1047985,1050691,0.11792909,0.01
1051322,1051601,0.0730675,0.01
1052444,1064386,0.145975,0.01
1065055,1068820,0.12230704,0.01
1069610,1075681,0.17287181,0.01
1076414,1078891,0.21526259,0.01
1081959,1083222,0.097673036,0.01
1083988,1084536,0.13069627,0.01
1085798,1085818,0.014994541,0.01
1086381,1086724,0.0037157196,0.01
1087597,1099410,0.14721562,0.01
1101042,1105603,0.13244596,0.01
1106428,1108404,0.12351171,0.01
1109080,1115965,0.11241674,0.01
1116748,1130132,0.11738978,0.01
1131646,1133361,0.11610361,0.01
1134125,1146750,0.124597475,0.01
1147275,1151237,0.12884745,0.01
1152453,1173427,0.17818461,0.01
1174091,1174723,0.20440128,0.01
1177073,1180370,0.17727897,0.01
1185186,1187501,0.16328225,0.01
1188234,1189847,0.18502314,0.01
1190880,1193219,0.17208904,0.01
1193850,1195711,0.1342987,0.01
1196822,1196861,0.01579879,0.01
1198455,1198711,0.031633668,0.01
1200703,1216621,0.15697612,0.01
1220856,1238287,0.14359526,0.01
1239604,1242997,0.13060944,0.01
1243646,1247035,0.15977702,0.01
1247662,1250854,0.14759353,0.01
1252234,1257851,0.1247272,0.01
1258493,1260877,0.17114963,0.01
1261443,1269909,0.16820477,0.01
1271050,1271088,0.02861187,0.01
1271884,1273876,0.210804,0.01
1274592,1278308,0.16579627,0.01
1279365,1281839,0.18382919,0.01
1282970,1284934,0.21542104,0.01
1285789,1297368,0.17093638,0.01
1298211,1316610,0.20929548,0.01
1318211,1318965,0.18439648,0.01
1319527,1319669,0.0209796,0.01
1320596,1327233,0.1397194,0.01
